Season,Home Games,Away Games,Home Shifts,Away Shifts,Home TOI,Away TOI,Home TOI/Game,Away TOI/Game,Home Goals,Away Goals,Home Assists,Away Assists,Home Points,Away Points,Home +/-,Away +/-,Home PIM,Away PIM,Home ES TOI,Away ES TOI,Home ES TOI/Game,Away ES TOI/Game,Home PPG,Away PPG,Home PPP,Away PPP,Home PP TOI,Away PP TOI,Home PP TOI/Game,Away PP TOI/Game,Home SHG,Away SHG,Home SHP,Away SHP,Home SH TOI,Away SH TOI,Home SH TOI/Game,Away SH TOI/Game,Home GWG,Away GWG,Home OT Goals,Away OT Goals,Home Shots,Away Shots,Home Hits,Away Hits,Home Blocked Shots,Away Blocked Shots
20052006,41,40,991,968,883:16,868:06,21:32,21:42,24,28,31,23,55,51,1,1,28,24,569:27,571:30,13:53,14:17,11,10,26,26,284:41,259:52,06:56,06:29,1,2,1,2,29:08,36:44,00:42,00:55,3,2,0,2,200,225,118,54,12,8
20062007,41,41,966,1019,878:12,875:38,21:25,21:21,20,26,27,19,47,45,2,-21,38,14,639:30,644:34,15:35,15:43,7,9,20,17,234:18,219:08,05:42,05:20,0,0,0,0,04:24,11:56,00:06,00:17,4,4,0,1,203,189,81,103,21,23
20072008,41,41,865,885,939:25,939:50,22:54,22:55,32,33,25,22,57,55,10,18,18,22,702:00,703:41,17:07,17:09,13,9,24,13,232:32,227:53,05:40,05:33,0,0,0,0,04:53,08:16,00:07,00:12,7,4,1,1,225,221,106,114,30,14
20082009,39,40,826,868,912:48,904:34,23:24,22:36,34,22,25,29,59,51,6,2,32,40,660:37,655:34,16:56,16:23,13,6,27,19,217:40,210:06,05:34,05:15,1,0,1,0,34:31,38:54,00:53,00:58,5,5,0,2,268,260,115,128,17,15
20092010,37,35,736,684,803:48,765:37,21:43,21:52,26,24,39,20,65,44,33,12,29,60,614:20,586:47,16:36,16:45,6,7,22,14,187:37,176:27,05:04,05:02,0,0,0,0,01:51,02:23,00:03,00:04,4,3,0,0,196,172,99,86,15,5
20102011,41,38,884,832,879:40,808:15,21:27,21:16,18,14,25,28,43,42,10,14,18,23,681:39,648:39,16:37,17:04,1,6,14,10,196:52,157:08,04:48,04:08,0,0,0,0,01:09,02:28,00:01,00:03,6,5,3,0,176,191,116,125,14,9
20112012,40,38,846,805,791:42,752:43,19:47,19:48,16,22,16,11,32,33,3,-11,10,16,650:10,608:48,16:15,16:01,5,8,13,10,140:48,142:38,03:31,03:45,0,0,0,0,00:44,01:17,00:01,00:02,2,1,2,0,151,152,131,84,28,14
20122013,24,24,508,518,504:06,498:21,21:00,20:45,13,19,14,10,27,29,2,0,22,14,389:38,388:55,16:14,16:12,4,12,11,16,112:32,107:58,04:41,04:29,0,0,0,0,01:56,01:28,00:04,00:03,2,2,0,0,107,113,63,57,9,9
20132014,39,39,860,840,810:54,791:38,20:47,20:17,29,22,10,18,39,40,-17,-18,30,18,613:21,595:26,15:43,15:16,14,10,20,19,196:46,196:00,05:02,05:01,0,0,1,0,00:47,00:12,00:01,00:00,6,4,2,1,194,192,121,83,11,11
20142015,40,41,899,917,809:18,837:06,20:13,20:25,25,28,18,10,43,38,6,4,28,30,651:24,684:19,16:17,16:41,13,12,19,15,157:31,151:45,03:56,03:42,0,0,0,0,00:23,01:02,00:00,00:01,6,5,0,0,192,203,139,120,13,19
20152016,38,41,831,883,774:55,829:27,20:23,20:13,26,24,10,11,36,35,18,3,28,25,614:19,650:20,16:09,15:51,9,10,12,12,160:36,178:49,04:13,04:21,0,0,0,0,00:00,00:18,00:00,00:00,2,6,1,1,192,206,110,115,15,19
20162017,41,41,848,889,751:09,754:52,18:19,18:24,20,13,18,18,38,31,13,-7,26,24,590:34,607:52,14:24,14:49,10,7,15,11,160:21,145:00,03:54,03:32,0,0,0,0,00:14,02:00,00:00,00:02,6,1,2,0,163,150,97,119,12,17
20172018,41,41,861,869,836:24,815:26,20:24,19:53,26,23,18,20,44,43,-2,5,12,20,658:18,646:13,16:03,15:45,11,6,20,11,176:23,168:28,04:18,04:06,0,0,0,0,01:43,00:45,00:02,00:01,4,3,1,2,173,182,62,77,12,9
20182019,40,41,827,855,856:08,838:29,21:24,20:27,19,32,24,14,43,46,5,2,20,20,656:10,680:29,16:24,16:35,8,10,13,15,199:24,157:57,04:59,03:51,0,0,0,0,00:34,00:03,00:00,00:00,2,3,0,0,163,175,97,126,20,21
20192020,33,35,672,716,679:09,726:02,20:34,20:44,19,29,10,9,29,38,-9,-3,12,18,523:51,547:36,15:52,15:38,5,8,8,10,155:16,177:16,04:42,05:03,0,0,0,0,00:02,01:10,00:00,00:02,2,1,0,1,152,159,78,106,12,18
20202021,19,26,387,548,373:54,503:41,19:40,19:22,13,11,8,10,21,21,-3,-4,4,8,290:23,396:36,15:17,15:15,5,4,9,8,83:12,106:29,04:22,04:05,0,0,0,0,00:19,00:36,00:01,00:01,5,1,1,0,70,112,43,55,8,15
20212022,39,38,836,844,824:36,759:26,21:08,19:59,24,26,26,14,50,40,2,6,12,6,633:29,583:21,16:14,15:21,8,8,18,11,190:46,175:35,04:53,04:37,1,0,1,0,00:21,00:30,00:00,00:00,3,2,0,0,173,161,92,63,15,10
20222023,33,35,715,766,677:46,696:52,20:32,19:54,20,22,19,11,39,33,0,-9,14,22,518:28,529:52,15:42,15:08,6,8,13,12,158:18,166:10,04:47,04:44,0,0,0,0,01:00,00:50,00:01,00:01,1,2,1,0,134,151,88,76,11,12
