Season,Games,TimeOnIce,Shifts,Goals,Assists,Points,Shots,Hits,PIMS,PPG,PPP,PP TOI,Even TOI,Faceoff %,Shooting %,GWG,OTG,SHG,SHP,SH TOI,Blocked,+/-
20052006,81,1751:22,1959,52,54,106,425,172,52,21,52,544:33,1140:57,12.5,12.24,5,2,3,3,65:52,20,2
20062007,82,1753:50,1985,46,46,92,392,184,52,16,37,453:26,1284:04,47.06,11.73,8,1,0,0,16:20,44,-19
20072008,82,1894:19,1750,65,47,112,446,220,40,22,37,465:11,1415:59,38.89,14.57,11,2,0,0,13:09,44,28
20082009,79,1817:22,1694,56,54,110,528,243,72,19,46,427:46,1316:11,25.0,10.61,10,2,1,1,73:25,32,8
20092010,72,1569:25,1420,50,59,109,368,185,89,13,36,364:04,1201:07,45.45,13.59,7,0,0,0,04:14,20,45
20102011,79,1687:55,1716,32,53,85,367,241,41,7,24,354:00,1330:18,33.33,8.72,11,3,0,0,03:37,23,24
20112012,78,1544:25,1651,38,27,65,303,215,26,13,23,283:26,1258:58,40.0,12.54,3,2,0,0,02:01,42,-8
20122013,48,1002:27,1026,32,24,56,220,120,36,16,27,220:30,778:33,0.0,14.55,4,0,0,0,03:24,18,2
20132014,78,1602:32,1700,51,28,79,386,204,48,24,39,392:46,1208:47,66.67,13.21,10,3,0,1,00:59,22,-35
20142015,81,1646:24,1816,53,28,81,395,259,58,25,34,309:16,1335:43,40.0,13.42,11,0,0,0,01:25,32,10
20152016,79,1604:22,1714,50,21,71,398,225,53,19,24,339:25,1264:39,0.0,12.56,8,2,0,0,00:18,34,21
20162017,82,1506:01,1737,33,36,69,313,216,50,17,26,305:21,1198:26,0.0,10.54,7,2,0,0,02:14,29,6
20172018,82,1651:50,1730,49,38,87,355,139,32,17,31,344:51,1304:31,37.5,13.8,7,3,0,0,02:28,21,3
20182019,81,1694:37,1682,51,38,89,338,223,40,18,28,357:21,1336:39,20.0,15.09,5,0,0,0,00:37,41,7
20192020,68,1405:11,1388,48,19,67,311,184,30,13,18,332:32,1071:27,100.0,15.4,3,1,0,0,01:12,30,-12
20202021,45,877:35,935,24,18,42,182,98,12,9,17,189:41,686:59,0.0,13.2,6,1,0,0,00:55,23,-7
20212022,77,1584:02,1680,50,40,90,334,155,18,16,29,366:21,1216:50,30.77,15.0,5,0,1,1,00:51,25,8
20222023,54,1105:47,1175,32,22,54,227,142,26,10,18,269:34,834:23,42.86,14.1,3,1,0,0,01:50,17,-3
